Symbol,Industry,Buy Price,Target Price,Stop Loss,Starred
PVRINOX.NS,,1080,1105,1050,1
WEBELSOLAR.NS,,1500,1450,1290,1
LUMAXIND.NS,,3881.8,4132,3620,0
NEULANDLAB.NS,,13578,14400,12940,1
JSL.NS,,774.1,798,733,0
LEMONTREE.NS,,155.9,162,148,0
SWIGGY.NS,,422,460,400,0
RAYMONDLSL.NS,,1223,1365,1130,0
TAJGVK.NS,,452,517,418,0
TIMETECHNO.NS,,485,512,460,0
FORCEMOT.NS,,21897,,,0
HYUNDAI.NS,,2448,2375,,0
OLAELEC.NS,,48.81,,,0
SMLISUZU.NS,,4407,,,0
OMAXAUTO.BO,,159.55,,,0
NDTV.NS,,150.86,,,0
ACL.NS,,72,,,0
IFGLEXPOR.NS,,259,,,0
NAVA.NS,,675,,,0
THYROCARE.NS,,1340,,,0
VIMTALABS.NS,,710,,,0
MEGASOFT.NS,,127,,,0
HIRECT.NS,,1690,,1580,0
ABINFRA.NS,,194,,,0
HINDWAREAP.NS,,302,,,0
WONDERLA.NS,,637,,,0
DPWIRES.NS,,243,,,0
